, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01,        0.00,        1.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00
wk02,        0.00,        1.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk03,        0.00,        1.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk04,        0.00,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk05,        0.00,        1.00,        1.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk06,        0.00,        1.00,        1.00,        0.00,        0.00,        0.00,        1.00,        0.00
wk07,        0.00,        0.00,        0.00,        1.00,        0.00,        0.00,        1.00,        0.00
wk08,        0.00,        0.00,        1.00,        1.00,        0.00,        0.00,        0.00,        0.00
wk09,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk10,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk11,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk13,        0.00,        0.00,        0.00,        2.00,        0.00,        1.00,        0.00,        0.00
wk14,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
