, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h001,        2.31,        1.20,        0.00,        0.00,        0.54,        0.00,        0.00,        0.00
wk01.h002,        2.50,        0.86,        0.00,        0.00,        0.56,        0.00,        0.00,        0.00
wk01.h003,        2.40,        0.86,        0.00,        0.00,        0.54,        0.00,        0.00,        0.00
wk01.h004,        2.32,        0.86,        0.00,        0.00,        0.59,        0.00,        0.00,        0.00
wk01.h005,        2.26,        0.89,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h006,        2.28,        0.96,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h007,        2.20,        1.22,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h008,        2.05,        1.58,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h009,        1.71,        1.72,        0.40,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h010,        1.43,        1.72,        0.93,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h011,        1.01,        1.72,        0.74,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h012,        0.43,        1.72,        1.37,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h013,        0.50,        1.72,        1.21,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h014,        0.32,        1.72,        1.29,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h015,        0.20,        1.72,        1.32,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h016,        0.26,        1.72,        1.22,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h017,        0.17,        1.72,        1.26,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h018,        0.10,        1.72,        1.45,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h019,        0.12,        1.72,        1.79,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h020,        0.20,        1.72,        1.72,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h021,        0.32,        1.72,        1.49,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h022,        0.34,        1.72,        1.37,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h023,        0.36,        1.72,        1.19,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h024,        0.40,        1.72,        0.94,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h025,        0.48,        1.72,        0.60,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h026,        0.60,        1.72,        0.30,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h027,        1.06,        1.72,        0.00,        0.00,        0.65,        0.53,        0.00,        0.00
wk01.h028,        1.13,        1.72,        0.00,        0.00,        0.65,        0.44,        0.00,        0.00
wk01.h029,        1.49,        1.72,        0.00,        0.00,        0.65,        0.14,        0.00,        0.00
wk01.h030,        1.80,        1.63,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h031,        1.95,        1.64,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h032,        1.97,        1.72,        0.00,        0.00,        0.65,        0.00,        0.13,        0.00
wk01.h033,        2.38,        1.57,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h034,        2.47,        1.53,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h035,        2.33,        1.66,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h036,        2.46,        1.41,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h037,        2.52,        1.26,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h038,        2.34,        1.40,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h039,        2.02,        1.64,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h040,        1.83,        1.72,        0.00,        0.00,        0.65,        0.00,        0.06,        0.00
wk01.h041,        1.65,        1.72,        0.00,        0.00,        0.65,        0.25,        0.00,        0.00
wk01.h042,        1.18,        1.72,        0.00,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h043,        0.47,        1.72,        1.23,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h044,        0.51,        1.72,        1.40,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h045,        0.42,        1.72,        1.52,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h046,        0.17,        1.72,        1.76,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h047,        0.08,        1.72,        1.70,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h048,        0.05,        1.72,        1.46,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h049,        0.10,        1.72,        1.18,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h050,        0.39,        1.72,        0.85,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h051,        0.96,        1.72,        0.31,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h052,        1.41,        1.72,        0.00,        0.00,        0.65,        0.71,        0.00,        0.00
wk01.h053,        1.96,        1.72,        0.00,        0.00,        0.65,        0.30,        0.00,        0.00
wk01.h054,        1.88,        1.72,        0.00,        0.00,        0.65,        0.73,        0.00,        0.00
wk01.h055,        1.86,        1.72,        0.57,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h056,        1.70,        1.72,        1.41,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h057,        1.52,        1.72,        1.43,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h058,        1.40,        1.72,        1.28,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h059,        0.91,        1.72,        1.47,        0.00,        0.65,        0.80,        0.05,        0.00
wk01.h060,        0.72,        1.72,        1.44,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h061,        0.54,        1.72,        1.40,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h062,        0.38,        1.72,        1.40,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h063,        0.18,        1.72,        1.44,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h064,        0.21,        1.72,        1.29,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h065,        0.11,        1.72,        1.35,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h066,        0.08,        1.72,        1.42,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h067,        0.28,        1.72,        1.72,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h068,        0.44,        1.72,        1.80,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h069,        0.75,        1.72,        1.50,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h070,        0.59,        1.72,        1.61,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h071,        0.69,        1.72,        1.27,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h072,        0.91,        1.72,        0.71,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h073,        0.79,        1.72,        0.57,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h074,        0.96,        1.72,        0.29,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h075,        1.12,        1.72,        0.15,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h076,        1.02,        1.72,        0.27,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h077,        1.32,        1.72,        0.15,        0.00,        0.65,        0.72,        0.00,        0.00
wk01.h078,        1.30,        1.72,        0.36,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h079,        1.38,        1.72,        0.86,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h080,        1.31,        1.72,        1.59,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h081,        1.20,        1.72,        1.46,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h082,        1.20,        1.72,        1.19,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h083,        0.75,        1.72,        1.40,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h084,        0.94,        1.72,        1.00,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h085,        0.54,        1.72,        1.24,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h086,        0.40,        1.72,        1.27,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h087,        0.27,        1.72,        1.30,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h088,        0.27,        1.72,        1.22,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h089,        0.28,        1.72,        1.18,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h090,        0.28,        1.72,        1.21,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h091,        0.32,        1.72,        1.65,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h092,        0.50,        1.72,        1.68,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h093,        0.80,        1.72,        1.39,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h094,        1.46,        1.72,        0.68,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h095,        1.84,        1.72,        0.15,        0.00,        0.65,        0.70,        0.00,        0.00
wk01.h096,        2.17,        1.72,        0.00,        0.00,        0.65,        0.17,        0.00,        0.00
wk01.h097,        2.51,        1.28,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h098,        2.63,        1.06,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h099,        2.70,        1.01,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h100,        2.54,        1.21,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h101,        2.58,        1.25,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h102,        2.48,        1.64,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h103,        2.54,        1.72,        0.46,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h104,        2.62,        1.72,        0.97,        0.00,        0.65,        0.00,        0.05,        0.00
wk01.h105,        2.63,        1.72,        0.81,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h106,        2.51,        1.72,        0.64,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h107,        2.16,        1.72,        0.73,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h108,        2.39,        1.72,        0.30,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h109,        2.66,        1.59,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h110,        2.68,        1.42,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h111,        2.64,        1.40,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h112,        2.69,        1.27,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h113,        2.82,        1.14,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h114,        2.79,        1.22,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h115,        2.81,        1.64,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h116,        2.85,        1.71,        0.00,        0.03,        0.65,        0.00,        0.00,        0.00
wk01.h117,        2.87,        1.64,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h118,        2.84,        1.57,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h119,        2.90,        1.20,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h120,        2.88,        0.96,        0.00,        0.00,        0.52,        0.00,        0.00,        0.00
wk01.h121,        2.85,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h122,        2.72,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h123,        2.63,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h124,        2.62,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h125,        2.67,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h126,        2.71,        0.86,        0.00,        0.00,        0.44,        0.00,        0.00,        0.00
wk01.h127,        2.64,        1.23,        0.00,        0.00,        0.63,        0.00,        0.00,        0.00
wk01.h128,        2.54,        1.72,        0.00,        0.00,        0.65,        0.17,        0.00,        0.00
wk01.h129,        2.46,        1.72,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h130,        2.46,        1.66,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h131,        2.29,        1.72,        0.00,        0.00,        0.65,        0.20,        0.00,        0.00
wk01.h132,        2.29,        1.72,        0.00,        0.00,        0.65,        0.19,        0.00,        0.00
wk01.h133,        2.54,        1.49,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h134,        2.36,        1.65,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h135,        2.32,        1.63,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h136,        2.33,        1.57,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h137,        2.14,        1.66,        0.00,        0.00,        0.65,        0.24,        0.00,        0.00
wk01.h138,        1.99,        1.72,        0.00,        0.00,        0.65,        0.36,        0.00,        0.00
wk01.h139,        1.92,        1.72,        0.00,        0.00,        0.65,        0.74,        0.00,        0.00
wk01.h140,        2.07,        1.72,        0.00,        0.00,        0.65,        0.71,        0.00,        0.00
wk01.h141,        2.36,        1.72,        0.00,        0.00,        0.65,        0.29,        0.00,        0.00
wk01.h142,        2.59,        1.51,        0.00,        0.00,        0.65,        0.12,        0.00,        0.00
wk01.h143,        2.70,        1.25,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h144,        2.67,        0.97,        0.00,        0.00,        0.54,        0.00,        0.00,        0.00
wk01.h145,        2.64,        0.86,        0.00,        0.00,        0.35,        0.00,        0.00,        0.00
wk01.h146,        2.44,        0.86,        0.00,        0.00,        0.39,        0.00,        0.00,        0.00
wk01.h147,        2.38,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h148,        2.34,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h149,        2.35,        0.86,        0.00,        0.00,        0.33,        0.00,        0.00,        0.00
wk01.h150,        2.29,        0.86,        0.00,        0.00,        0.50,        0.00,        0.00,        0.00
wk01.h151,        2.10,        1.36,        0.00,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h152,        2.09,        1.72,        0.22,        0.00,        0.65,        0.00,        0.00,        0.00
wk01.h153,        1.64,        1.72,        0.27,        0.00,        0.65,        0.40,        0.00,        0.00
wk01.h154,        1.80,        1.72,        0.15,        0.00,        0.65,        0.40,        0.00,        0.00
wk01.h155,        1.76,        1.72,        0.15,        0.00,        0.65,        0.51,        0.00,        0.00
wk01.h156,        1.49,        1.72,        0.29,        0.00,        0.65,        0.72,        0.00,        0.00
wk01.h157,        0.98,        1.72,        0.71,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h158,        0.91,        1.72,        0.81,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h159,        1.14,        1.72,        0.59,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h160,        1.25,        1.72,        0.43,        0.00,        0.65,        0.80,        0.00,        0.00
wk01.h161,        1.69,        1.72,        0.15,        0.00,        0.65,        0.65,        0.00,        0.00
wk01.h162,        1.78,        1.72,        0.00,        0.00,        0.65,        0.74,        0.00,        0.00
wk01.h163,        1.52,        1.72,        0.45,        0.00,        0.65,        0.80,        0.00,        0.00
