, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h001,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h002,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h003,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h004,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h005,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h006,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h007,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h008,        0.00,        3.00,        0.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h009,        0.00,        3.00,        1.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h010,        0.00,        3.00,        2.00,        0.00,        1.00,        0.00,        0.00,        0.00
wk01.h011,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h012,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h013,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h014,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h015,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h016,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h017,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h018,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h019,        0.00,        3.00,        4.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h020,        0.00,        3.00,        4.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h021,        0.00,        3.00,        4.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h022,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h023,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h024,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
wk01.h025,        0.00,        3.00,        3.00,        0.00,        1.00,        2.00,        0.00,        0.00
