, wind, old_coal_sub_st, old_ng_cc, old_ng_gt, new_coal_st, new_ng_cc, new_ng_gt_aero, new_nuke_st
wk01.h001,        1.28,        2.29,        0.00,        0.00,        0.00,        0.62,        0.00,        0.00
wk01.h002,        1.35,        2.29,        0.00,        0.00,        0.00,        0.37,        0.00,        0.00
wk01.h003,        1.28,        2.29,        0.00,        0.00,        0.00,        0.33,        0.00,        0.00
wk01.h004,        1.47,        2.29,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h005,        1.49,        2.25,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h006,        1.58,        2.24,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h007,        1.65,        2.29,        0.00,        0.00,        0.00,        0.18,        0.00,        0.00
wk01.h008,        1.60,        2.29,        0.29,        0.00,        0.00,        0.23,        0.00,        0.00
wk01.h009,        1.52,        2.29,        0.41,        0.00,        0.00,        0.40,        0.00,        0.00
wk01.h010,        1.37,        2.29,        0.69,        0.00,        0.00,        0.40,        0.00,        0.00
wk01.h011,        1.61,        2.29,        0.47,        0.00,        0.00,        0.40,        0.00,        0.00
wk01.h012,        2.12,        2.13,        0.29,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h013,        1.95,        2.20,        0.29,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h014,        2.20,        2.12,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h015,        2.17,        2.05,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h016,        1.96,        2.23,        0.00,        0.00,        0.00,        0.12,        0.00,        0.00
wk01.h017,        1.86,        2.29,        0.00,        0.00,        0.00,        0.18,        0.00,        0.00
wk01.h018,        1.58,        2.29,        0.00,        0.00,        0.00,        0.54,        0.00,        0.00
wk01.h019,        1.29,        2.29,        0.00,        0.00,        0.00,        1.15,        0.00,        0.00
wk01.h020,        1.31,        2.29,        0.00,        0.00,        0.00,        1.42,        0.00,        0.00
wk01.h021,        0.85,        2.29,        0.27,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h022,        0.61,        2.29,        0.47,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h023,        0.42,        2.29,        0.56,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h024,        0.38,        2.29,        0.45,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h025,        0.27,        2.29,        0.42,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h026,        0.30,        2.29,        0.35,        0.00,        0.00,        1.60,        0.00,        0.00
wk01.h027,        0.27,        2.29,        0.38,        0.00,        0.00,        1.60,        0.00,        0.00
