run_model_name,StaticCapPlan
run_obj_var,vTotalCost
run_obj_value,  4188.84300
run_modstat,8 Integer Solution
run_solstat,1 Normal Completion
run_mip_gap,0.000217
run_solver_time_sec,   107.67100
run_mip_nodes,  1561.00000
run_time_sec,109
cost_total_Musd,  4188.84300
cost_capital_Musd,  2378.41471
cost_ops_Musd,  1810.42829
cost_fixedOM_Musd,   195.44020
cost_varOM_Musd,   134.75018
cost_fuel_Musd,  1260.34874
cost_carbon_Musd,     0.00000
cost_penalty_Musd,     0.00000
cost_maint_Musd,   219.88917
CO2e_total_Mt,    24.93021
CO2e_price_usd_t,     0.00000
energy_total_TWh,    46.10227
avg_price_usd_MWh,    90.85979
energy_non_served_GWh, 0
energy_TWh_wind,     9.65296
energy_TWh_old_coal_sub_st,    17.67860
energy_TWh_old_ng_cc,     8.64440
energy_TWh_old_ng_gt,     0.00677
energy_TWh_new_coal_st,     0.00000
energy_TWh_new_ng_cc,     9.94299
energy_TWh_new_ng_gt_aero,     0.17655
energy_TWh_new_nuke_st,     0.00000
RPS_target_fraction,     0.20000
renew_fraction,     0.20938
shed_GWh_wind,     7.64170
demand_max_GW,     9.29850
data_dur_hr,  8759.52000
cap_new_GW_wind,     3.80000
cap_new_GW_old_coal_sub_st,     0.00000
cap_new_GW_old_ng_cc,     0.00000
cap_new_GW_old_ng_gt,     0.00000
cap_new_GW_new_coal_st,     0.00000
cap_new_GW_new_ng_cc,     1.60000
cap_new_GW_new_ng_gt_aero,     1.05000
cap_new_GW_new_nuke_st,     0.00000
cap_total_GW_wind,     4.20000
cap_total_GW_old_coal_sub_st,     2.29040
cap_total_GW_old_ng_cc,     3.42657
cap_total_GW_old_ng_gt,     0.99018
cap_total_GW_new_coal_st,     0.00000
cap_total_GW_new_ng_cc,     1.60000
cap_total_GW_new_ng_gt_aero,     1.05000
cap_total_GW_new_nuke_st,     0.00000
in_CO2e_cost_usd_ton,      0.00000
in_CO2e_cap_Kt,         +INF
demand_scale,     0.15000
WACC,     0.09000
in_non_served_price_usd_MWh,         +INF
data_dir, ../data/
data_sys, miniE_sys.inc
data_demand, ercot2007_dem_yr_as_5wk.inc
data_fuel, thesis_fuel.inc
data_gens, miniE_units_clust.inc
data_gparams, eia_aeo2011_gen_params.inc
data_avail, ercot2007_avail.inc
uc_integer_wind,          NA
uc_integer_old_coal_sub_st,     1.00000
uc_integer_old_ng_cc,     1.00000
uc_integer_old_ng_gt,     1.00000
uc_integer_new_coal_st,     1.00000
uc_integer_new_ng_cc,     1.00000
uc_integer_new_ng_gt_aero,     1.00000
uc_integer_new_nuke_st,     1.00000
flag_startup, 0
flag_unit_commit, 1
flag_ramp, 1
flag_ignore_integer, 0
flag_uc_lp, 0
flag_avg_avail, 0
flag_ignore_cap_credit, 0
flag_no_capital, 0
valflag_uc_ignore_unit_min, 0
valflag_uc_int_unit_min, 0
flag_uc_lp, 0
valflag_rsrv, off
flag_separate_rsrv, 0
flag_flex_rsrv, 0
flag_no_quick_st, 0
valflag_non_uc_rsrv_up_offline, off
valflag_non_uc_rsrv_down_offline, off
flag_adj_rsrv_for_nse, 0
valflag_rps_penalty, off
flag_force_renewables, 0
flag_fix_cap, 0
flag_max_start, 0
flag_min_up_down, 1
flag_pwl_cost, 0
valflag_p0_recover, 0.85
flag_pwl2afine, 0
valflag_force_gen_size, off
valflag_min_gen_size, off
flag_derate, 0
flag_derate_to_maint, 0
flag_from_scratch, 0
flag_basic_pmin, 0
valflag_plan_margin, off
valflag_plan_margin_penalty, off
flag_overbuild, 1
flag_skip_cap_limit, 0
flag_maint, 1
valflag_max_maint, 0.15
valflag_retire, off
flag_maint_lp, 0
valflag_max_solve_time, 10800
valflag_mip_gap, 0.001
valflag_par_threads, 1
flag_priority, 0
valflag_cheat, off
valflag_rel_cheat, 0
model_num_eq,76604
model_num_var,55600
model_num_discrete_var,17750
model_num_nonzero,351577
