, onlyS
wind,        3.80
Arthur_Von_Rosenberg_Combined,        0.00
Bastrop_Combined,        0.00
Bosque_County_Peaking_GT_1,        0.00
Bosque_County_Peaking_GT_2,        0.00
Bosque_County_Peaking_Units3to5_Combo,        0.00
Brazoz_Valley_Generating_Facility_Combo,        0.00
Coleto_Creek_1,        0.00
Colorado_Bend_Energy_Center_Combined_1,        0.00
Colorado_Bend_Energy_Center_Combined_2,        0.00
DeCordova_Steam_Electric_Station_CT4,        0.00
Ennis_Power_Company_Combined,        0.00
Fayette_Power_Project_1,        0.00
Fayette_Power_Project_2,        0.00
Fayette_Power_Project_3,        0.00
Permian_Basin_CT2,        0.00
Permian_Basin_CT3,        0.00
R_W_Miller_4,        0.00
R_W_Miller_5,        0.00
San_Jacinto_Steam_Electric_Station_1,        0.00
San_Jacinto_Steam_Electric_Station_2,        0.00
new_coal_st_1,        0.65
new_coal_st_2,        0.65
new_ng_cc_1,        0.40
new_ng_cc_2,        0.40
new_ng_cc_3,        0.40
new_ng_cc_4,        0.40
new_ng_gt_aero_1,        0.21
new_ng_gt_aero_2,        0.21
new_ng_gt_aero_3,        0.21
new_ng_gt_aero_4,        0.21
new_ng_gt_aero_5,        0.21
new_nuke_st,        0.00
