, wind, Arthur_Von_Rosenberg_Combined, Bastrop_Combined, Bosque_County_Peaking_GT_1, Bosque_County_Peaking_GT_2, Bosque_County_Peaking_Units3to5_Combo, Brazoz_Valley_Generating_Facility_Combo, Coleto_Creek_1, Colorado_Bend_Energy_Center_Combined_1, Colorado_Bend_Energy_Center_Combined_2, DeCordova_Steam_Electric_Station_CT4, Ennis_Power_Company_Combined, Fayette_Power_Project_1, Fayette_Power_Project_2, Fayette_Power_Project_3, Permian_Basin_CT2, Permian_Basin_CT3, R_W_Miller_4, R_W_Miller_5, San_Jacinto_Steam_Electric_Station_1, San_Jacinto_Steam_Electric_Station_2, new_coal_st_1, new_coal_st_2, new_ng_cc_1, new_ng_cc_2, new_ng_cc_3, new_ng_cc_4, new_ng_gt_aero_1, new_ng_gt_aero_2, new_ng_gt_aero_3, new_ng_gt_aero_4, new_ng_gt_aero_5, new_nuke_st
wk01.h001,        1.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.40,        0.40,        0.40,        0.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h002,        1.35,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.38,        0.40,        0.12,        0.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h003,        1.28,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.40,        0.12,        0.40,        0.34,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h004,        1.47,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.40,        0.12,        0.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h005,        1.49,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.37,        0.40,        0.12,        0.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h006,        1.58,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.12,        0.36,        0.40,        0.12,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h007,        1.65,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.40,        0.12,        0.40,        0.20,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h008,        1.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.13,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.40,        0.26,        0.40,        0.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h009,        1.52,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.27,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.40,        0.40,        0.40,        0.40,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00
wk01.h010,        1.37,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.42,        0.62,        0.62,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.40,        0.40,        0.40,        0.40,        0.00,        0.14,        0.00,        0.00,        0.00,        0.00
