run_model_name,StaticCapPlan
run_obj_var,vTotalCost
run_obj_value,  5263.27731
run_modstat,8 Integer Solution
run_solstat,3 Resource Interrupt
run_mip_gap,0.006286
run_solver_time_sec, 12050.44000
run_mip_nodes,  6432.00000
run_time_sec,12052
cost_total_Musd,  5263.27731
cost_capital_Musd,  2738.27118
cost_ops_Musd,  2525.00614
cost_fixedOM_Musd,   214.72493
cost_varOM_Musd,   143.00813
cost_fuel_Musd,  1145.42721
cost_carbon_Musd,     0.00000
cost_penalty_Musd,     0.00000
cost_maint_Musd,  1021.84587
CO2e_total_Mt,    25.99222
CO2e_price_usd_t,     0.00000
energy_total_TWh,    46.10227
avg_price_usd_MWh,   114.16525
energy_non_served_GWh, 0
energy_TWh_wind,     9.63637
energy_TWh_Arthur_Von_Rosenberg_Combined,     1.29153
energy_TWh_Bastrop_Combined,     0.90001
energy_TWh_Bosque_County_Peaking_GT_1,     0.17565
energy_TWh_Bosque_County_Peaking_GT_2,     0.16693
energy_TWh_Bosque_County_Peaking_Units3to5_Combo,     0.92942
energy_TWh_Brazoz_Valley_Generating_Facility_Combo,     1.87420
energy_TWh_Coleto_Creek_1,     3.90271
energy_TWh_Colorado_Bend_Energy_Center_Combined_1,     0.83833
energy_TWh_Colorado_Bend_Energy_Center_Combined_2,     0.83725
energy_TWh_DeCordova_Steam_Electric_Station_CT4,     0.01964
energy_TWh_Ennis_Power_Company_Combined,     1.32413
energy_TWh_Fayette_Power_Project_1,     2.98416
energy_TWh_Fayette_Power_Project_2,     2.99629
energy_TWh_Fayette_Power_Project_3,     2.83424
energy_TWh_Permian_Basin_CT2,     0.00262
energy_TWh_Permian_Basin_CT3,     0.00101
energy_TWh_R_W_Miller_4,     0.02039
energy_TWh_R_W_Miller_5,     0.01935
energy_TWh_San_Jacinto_Steam_Electric_Station_1,     0.00803
energy_TWh_San_Jacinto_Steam_Electric_Station_2,     0.00767
energy_TWh_new_coal_st_1,     4.35434
energy_TWh_new_coal_st_2,     4.35198
energy_TWh_new_ng_cc_1,     1.52886
energy_TWh_new_ng_cc_2,     1.62159
energy_TWh_new_ng_cc_3,     1.55186
energy_TWh_new_ng_cc_4,     1.57932
energy_TWh_new_ng_gt_aero_1,     0.10323
energy_TWh_new_ng_gt_aero_2,     0.02606
energy_TWh_new_ng_gt_aero_3,     0.09551
energy_TWh_new_ng_gt_aero_4,     0.09313
energy_TWh_new_ng_gt_aero_5,     0.02647
energy_TWh_new_nuke_st,     0.00000
RPS_target_fraction,     0.20000
renew_fraction,     0.20902
shed_GWh_wind,    24.23870
demand_max_GW,     9.29850
data_dur_hr,  8759.52000
cap_new_GW_wind,     3.80000
cap_new_GW_Arthur_Von_Rosenberg_Combined,     0.00000
cap_new_GW_Bastrop_Combined,     0.00000
cap_new_GW_Bosque_County_Peaking_GT_1,     0.00000
cap_new_GW_Bosque_County_Peaking_GT_2,     0.00000
cap_new_GW_Bosque_County_Peaking_Units3to5_Combo,     0.00000
cap_new_GW_Brazoz_Valley_Generating_Facility_Combo,     0.00000
cap_new_GW_Coleto_Creek_1,     0.00000
cap_new_GW_Colorado_Bend_Energy_Center_Combined_1,     0.00000
cap_new_GW_Colorado_Bend_Energy_Center_Combined_2,     0.00000
cap_new_GW_DeCordova_Steam_Electric_Station_CT4,     0.00000
cap_new_GW_Ennis_Power_Company_Combined,     0.00000
cap_new_GW_Fayette_Power_Project_1,     0.00000
cap_new_GW_Fayette_Power_Project_2,     0.00000
cap_new_GW_Fayette_Power_Project_3,     0.00000
cap_new_GW_Permian_Basin_CT2,     0.00000
cap_new_GW_Permian_Basin_CT3,     0.00000
cap_new_GW_R_W_Miller_4,     0.00000
cap_new_GW_R_W_Miller_5,     0.00000
cap_new_GW_San_Jacinto_Steam_Electric_Station_1,     0.00000
cap_new_GW_San_Jacinto_Steam_Electric_Station_2,     0.00000
cap_new_GW_new_coal_st_1,     0.65000
cap_new_GW_new_coal_st_2,     0.65000
cap_new_GW_new_ng_cc_1,     0.40000
cap_new_GW_new_ng_cc_2,     0.40000
cap_new_GW_new_ng_cc_3,     0.40000
cap_new_GW_new_ng_cc_4,     0.40000
cap_new_GW_new_ng_gt_aero_1,     0.21000
cap_new_GW_new_ng_gt_aero_2,     0.21000
cap_new_GW_new_ng_gt_aero_3,     0.21000
cap_new_GW_new_ng_gt_aero_4,     0.21000
cap_new_GW_new_ng_gt_aero_5,     0.21000
cap_new_GW_new_nuke_st,     0.00000
cap_total_GW_wind,     4.20000
cap_total_GW_Arthur_Von_Rosenberg_Combined,     0.55000
cap_total_GW_Bastrop_Combined,     0.72780
cap_total_GW_Bosque_County_Peaking_GT_1,     0.15400
cap_total_GW_Bosque_County_Peaking_GT_2,     0.15400
cap_total_GW_Bosque_County_Peaking_Units3to5_Combo,     0.49900
cap_total_GW_Brazoz_Valley_Generating_Facility_Combo,     0.67560
cap_total_GW_Coleto_Creek_1,     0.60040
cap_total_GW_Colorado_Bend_Energy_Center_Combined_1,     0.27810
cap_total_GW_Colorado_Bend_Energy_Center_Combined_2,     0.27810
cap_total_GW_DeCordova_Steam_Electric_Station_CT4,     0.08940
cap_total_GW_Ennis_Power_Company_Combined,     0.41800
cap_total_GW_Fayette_Power_Project_1,     0.61500
cap_total_GW_Fayette_Power_Project_2,     0.61500
cap_total_GW_Fayette_Power_Project_3,     0.46000
cap_total_GW_Permian_Basin_CT2,     0.08940
cap_total_GW_Permian_Basin_CT3,     0.08940
cap_total_GW_R_W_Miller_4,     0.11880
cap_total_GW_R_W_Miller_5,     0.11880
cap_total_GW_San_Jacinto_Steam_Electric_Station_1,     0.08820
cap_total_GW_San_Jacinto_Steam_Electric_Station_2,     0.08820
cap_total_GW_new_coal_st_1,     0.65000
cap_total_GW_new_coal_st_2,     0.65000
cap_total_GW_new_ng_cc_1,     0.40000
cap_total_GW_new_ng_cc_2,     0.40000
cap_total_GW_new_ng_cc_3,     0.40000
cap_total_GW_new_ng_cc_4,     0.40000
cap_total_GW_new_ng_gt_aero_1,     0.21000
cap_total_GW_new_ng_gt_aero_2,     0.21000
cap_total_GW_new_ng_gt_aero_3,     0.21000
cap_total_GW_new_ng_gt_aero_4,     0.21000
cap_total_GW_new_ng_gt_aero_5,     0.21000
cap_total_GW_new_nuke_st,     0.00000
in_CO2e_cost_usd_ton,      0.00000
in_CO2e_cap_Kt,         +INF
demand_scale,     0.15000
WACC,     0.09000
in_non_served_price_usd_MWh,         +INF
data_dir, ../data/
data_sys, miniE_sys.inc
data_demand, ercot2007_dem_yr_as_5wk.inc
data_fuel, thesis_fuel.inc
data_gens, miniE_units_sep.inc
data_gparams, eia_aeo2011_gen_params.inc
data_avail, ercot2007_avail.inc
uc_integer_wind,          NA
uc_integer_Arthur_Von_Rosenberg_Combined,     1.00000
uc_integer_Bastrop_Combined,     1.00000
uc_integer_Bosque_County_Peaking_GT_1,     1.00000
uc_integer_Bosque_County_Peaking_GT_2,     1.00000
uc_integer_Bosque_County_Peaking_Units3to5_Combo,     1.00000
uc_integer_Brazoz_Valley_Generating_Facility_Combo,     1.00000
uc_integer_Coleto_Creek_1,     1.00000
uc_integer_Colorado_Bend_Energy_Center_Combined_1,     1.00000
uc_integer_Colorado_Bend_Energy_Center_Combined_2,     1.00000
uc_integer_DeCordova_Steam_Electric_Station_CT4,     1.00000
uc_integer_Ennis_Power_Company_Combined,     1.00000
uc_integer_Fayette_Power_Project_1,     1.00000
uc_integer_Fayette_Power_Project_2,     1.00000
uc_integer_Fayette_Power_Project_3,     1.00000
uc_integer_Permian_Basin_CT2,     1.00000
uc_integer_Permian_Basin_CT3,     1.00000
uc_integer_R_W_Miller_4,     1.00000
uc_integer_R_W_Miller_5,     1.00000
uc_integer_San_Jacinto_Steam_Electric_Station_1,     1.00000
uc_integer_San_Jacinto_Steam_Electric_Station_2,     1.00000
uc_integer_new_coal_st_1,     1.00000
uc_integer_new_coal_st_2,     1.00000
uc_integer_new_ng_cc_1,     1.00000
uc_integer_new_ng_cc_2,     1.00000
uc_integer_new_ng_cc_3,     1.00000
uc_integer_new_ng_cc_4,     1.00000
uc_integer_new_ng_gt_aero_1,     1.00000
uc_integer_new_ng_gt_aero_2,     1.00000
uc_integer_new_ng_gt_aero_3,     1.00000
uc_integer_new_ng_gt_aero_4,     1.00000
uc_integer_new_ng_gt_aero_5,     1.00000
uc_integer_new_nuke_st,     1.00000
flag_startup, 0
flag_unit_commit, 1
flag_ramp, 1
flag_ignore_integer, 0
flag_uc_lp, 0
flag_avg_avail, 0
flag_ignore_cap_credit, 0
flag_no_capital, 0
valflag_uc_ignore_unit_min, 0
valflag_uc_int_unit_min, 0
flag_uc_lp, 0
valflag_rsrv, off
flag_separate_rsrv, 0
flag_flex_rsrv, 0
flag_no_quick_st, 0
valflag_non_uc_rsrv_up_offline, off
valflag_non_uc_rsrv_down_offline, off
flag_adj_rsrv_for_nse, 0
valflag_rps_penalty, off
flag_force_renewables, 0
flag_fix_cap, 0
flag_max_start, 0
flag_min_up_down, 1
flag_pwl_cost, 0
valflag_p0_recover, 0.85
flag_pwl2afine, 0
valflag_force_gen_size, off
valflag_min_gen_size, off
flag_derate, 0
flag_derate_to_maint, 0
flag_from_scratch, 0
flag_basic_pmin, 0
valflag_plan_margin, off
valflag_plan_margin_penalty, off
flag_overbuild, 1
flag_skip_cap_limit, 0
flag_maint, 1
valflag_max_maint, 0.15
valflag_retire, off
flag_maint_lp, 0
valflag_max_solve_time, 10800
valflag_mip_gap, 0.001
valflag_par_threads, 1
flag_priority, 0
valflag_cheat, off
valflag_rel_cheat, 0
model_num_eq,315689
model_num_var,245100
model_num_discrete_var,81133
model_num_nonzero,1222602
