name,c_var_om,c_fix_om,c_cap,life,fuel,heatrate,cap_cur,cap_max,p_min,cap_credit,gen_size,ramp_max,unit_min,c_start_fix,fuel_start
New_Nuke,0.51,92040,3820000,40,u235,10.488,0,Inf,0,0.9,1350,0.02,1200,100000,10000
New_Coal,4.69,28150,2223000,30,coal,9.2,0,Inf,0,0.85,600,0.2,300,20000,10000
New_CCGT,2.04,11960,968000,30,ng,6.752,0,Inf,0,0.85,400,0.5,100,5000,1000
New_CT,3.24,10770,648000,20,ng,9.289,0,Inf,0,0.85,230,1,10,100,0
Wind,0,30980,1966000,20,wind,1,0,Inf,0,0.1,50,1,0,0,0
Oklaunion,4.69,0,0,20,coal,10.860,720,720,0,0.85,720,0.2,300,20000,10000
Limestone,4.69,0,0,20,coal,9.709,1849.8,1849.8,0,0.85,1849.8,0.2,300,20000,10000
Canyon,1,0,0,20,water,1.000,6,6,0,0.99,6,1,0,0,0
Lewisville,1,0,0,20,water,1.000,2.8,2.8,0,0.99,2.8,1,0,0,0
Eagle_Pass,1,0,0,20,water,1.000,9.6,9.6,0,0.99,9.6,1,0,0,0
J_L_Bates,3.24,0,0,20,ng,12.912,188.7,188.7,0,0.85,188.7,1,10,100,0
Laredo,3.24,0,0,20,ng,12.101,187.2,187.2,0,0.85,187.2,1,10,100,0
La_Palma,3.24,0,0,20,ng,11.649,258.3,258.3,0,0.85,258.3,1,10,100,0
Lake_Hubbard,3.24,0,0,20,ng,12.332,927.5,927.5,0,0.85,927.5,1,10,100,0
Mountain_Creek,3.24,0,0,20,ng,12.478,958.3,958.3,0,0.85,958.3,1,10,100,0
Cedar_Bayou,3.24,0,0,20,ng,10.948,2295,2295,0,0.85,2295,1,10,100,0
Deepwater,3.24,0,0,20,ng,12.478,187.8,187.8,0,0.85,187.8,1,10,100,0
Greens_Bayou,3.24,0,0,20,ng,14.458,878.4,878.4,0,0.85,878.4,1,10,100,0
Hiram_Clarke,3.24,0,0,20,ng,12.478,96,96,0,0.85,96,1,10,100,0
P_H_Robinson,3.24,0,0,20,ng,13.008,2314.5,2314.5,0,0.85,2314.5,1,10,100,0
Sam_Bertron,3.24,0,0,20,ng,12.238,875.1,875.1,0,0.85,875.1,1,10,100,0
T_H_Wharton,3.24,0,0,20,ng,9.381,1421.5,1421.5,0,0.85,1421.5,1,10,100,0
W_A_Parish,4.69,0,0,20,coal,10.539,3969,3969,0,0.85,3969,0.2,300,20000,10000
Webster,3.24,0,0,20,ng,9.381,426.3,426.3,0,0.85,426.3,1,10,100,0
Eagle_Mountain,3.24,0,0,20,ng,16.528,706.1,706.1,0,0.85,706.1,1,10,100,0
Graham,3.24,0,0,20,ng,11.462,634.7,634.7,0,0.85,634.7,1,10,100,0
Handley,3.24,0,0,20,ng,13.694,1433.3,1433.3,0,0.85,1433.3,1,10,100,0
Morgan_Creek,3.24,0,0,20,ng,13.715,1224.3,1224.3,0,0.85,1224.3,1,10,100,0
Permian_Basin,3.24,0,0,20,ng,12.884,1097.4,1097.4,0,0.85,1097.4,1,10,100,0
Big_Brown,4.69,0,0,20,coal,11.471,1186.8,1186.8,0,0.85,1186.8,0.2,300,20000,10000
Lake_Creek,3.24,0,0,20,ng,13.235,321.6,321.6,0,0.85,321.6,1,10,100,0
Stryker_Creek,3.24,0,0,20,ng,12.487,713.4,713.4,0,0.85,713.4,1,10,100,0
